name
"अन्‍न, नागरी पुरवठा व ग्राहक संरक्षण विभाग"
अल्पसंख्याक विकास विभाग
आदिवासी विकास विभाग
इतर मागास बहुजन कल्याण विभाग
उच्च व तंत्र शिक्षण विभाग
"उद्योग, उर्जा व कामगार विभाग"
"कृषी, पशुसंवर्धन, दुग्‍धव्‍यवसाय विकास व मत्‍स्‍यव्‍यवसाय विभाग"
कौशल्य विकास व उदयोजकता विभाग
ग्राम विकास विभाग
गृह विभाग
गृहनिर्माण विभाग
जलसंपदा विभाग
दिव्यांग कल्याण विभाग
नगर विकास विभाग
नियोजन विभाग
पर्यटन व सांस्कृतिक कार्य विभाग
पर्यावरण विभाग
पाणीपुरवठा व स्वच्छता विभाग
मृद व जलसंधारण विभाग
मराठी भाषा विभाग
महसूल व वन विभाग
महिला व बाल विकास विभाग
माहिती तंत्रज्ञान (सा.प्र.वि.) विभाग
वैद्यकीय शिक्षण व औषधी द्रव्‍ये विभाग
वित्त विभाग
विधी व न्याय विभाग
शालेय शिक्षण व क्रीडा विभाग
संसदीय कार्य विभाग
"सहकार, पणन व वस्‍त्रोद्योग विभाग"
सामाजिक न्‍याय व विशेष सहाय्य विभाग
सामान्य प्रशासन विभाग
सार्वजनिक आरोग्य विभाग
सार्वजनिक बांधकाम विभाग
